266;CAJAMARCA;15;6;2016;6;SN;ENTRADA AL CASERIO VISTA ALEGRE.;-5.70654;-78.81687;;;
267;CAJAMARCA;24;4;2016;4;SN;CASERIO CUYCA CASERIO CUYCA;-9.05339;-75.51899;;;
271;CAJAMARCA;29;10;2016;10;SN;CARACUACHE;-7.16227;-78.51927;;;
272;CAJAMARCA;9;7;2016;7;SN;CP SHUMBA ALTO - CASERIO CHINCHIQUE BAJO;-6.50496;-78.29246;;;
279;CAJAMARCA;2;5;2016;5;SN;EL CALABOZO;-7.13966;-78.52609;;;
281;CAJAMARCA;27;10;2016;10;SN;CASERIO PERINGOS;-7.16227;-78.51927;;;
283;CAJAMARCA;7;5;2016;5;SN;CASERIO SHUMAYA SECTOR NARANJITOS;-6.55605;-78.66253;;;
284;CAJAMARCA;15;4;2016;4;SN;CASERIO SAN LUIS SECTOR CHORRO BLANCO;-7.15762;-78.86768;;;
285;CAJAMARCA;9;10;2016;10;2.00E+00;CALLE CAJAMARCA;-13.49128;-71.77831;;;
286;CAJAMARCA;6;6;2016;6;SN;CASERIO SAMBIMERA;-7.16227;-78.51927;;;
287;CAJAMARCA;29;8;2016;8;SN;COLEGIO MIGUEL GRAU;-6.67979;-78.51884;;;
289;CAJAMARCA;17;6;2016;6;SN;POTRERO GUALGALLO;-7.16227;-78.51927;;;
290;CAJAMARCA;18;5;2016;5;SN;CASERIO TINDIBAMBA CASERIO TINDIBAMBA;-9.05339;-75.51899;;;
291;CAJAMARCA;9;1;2016;1;SN;CASERIO LA CONGA LA TOTORA;-7.1581;-78.52121;;;
292;CAJAMARCA;5;3;2016;3;SN;TROCHA CARROZABLE PULAN A SANTA CRUZ;-6.73862;-78.91919;;;
295;CAJAMARCA;13;10;2016;10;SN;PLAZA EXPOFERIAL FONGAL;-6.44435;-78.65603;;;
296;CAJAMARCA;12;12;2016;12;4.50E+01;CARRETERA OTUZCO A BARRIOS DEL INCA;-11.83897;-77.15205;;;
297;CAJAMARCA;1;12;2016;12;SN;CP. TARTAR CHICO - LA ALAMEDA LA CHONTA - BARRIOS DEL INCA.;-7.16568;-78.4653;;;
298;CAJAMARCA;27;7;2016;7;SN;MANCO CAPAC 776;-7.16528;-78.49037;;;
299;CAJAMARCA;14;10;2016;10;SN;LA ALAMEDA LA CHONTA TARTAR CHICO - BARRIOS DEL INCA;-7.16568;-78.4653;;;
301;CAJAMARCA;25;7;2016;7;1.00E+00;SANTA ISABEL;-7.61777;-78.04948;;;
303;CAJAMARCA;4;12;2016;12;SN;HICHABAMBA;-7.16227;-78.51927;;;
304;CAJAMARCA;3;2;2016;2;SN;CERRO MOGOL COCHAS CERRO MOGOL CASERIO COCHAS;-10.53731;-77.42306;;;
307;CAJAMARCA;11;11;2016;11;SN;SAN JUAN DE REJOPAMPA;-6.92711;-79.1286;;;
308;CAJAMARCA;24;5;2016;5;SN;FRAY JOSE ARANA Y PASAJE ALFONSO AVEDAÑO;-6.56382;-78.65142;;;
309;CAJAMARCA;2;11;2016;11;2.00E+00;MICAELA BASTIDES;-5.72014;-78.80302;;;
312;CAJAMARCA;20;5;2016;5;SN;CENTRO POBLADO LLANGODEN ALTO;-7.17661;-79.01055;;;
313;CAJAMARCA;18;1;2016;1;SN;VIVERO FORESTAL URB EL MOLINO;-7.14481;-78.52449;;;
315;CAJAMARCA;19;7;2016;7;SN;LA QUESERILLA ANEXO POSHAN;-5.60993;-78.43806;;;
316;CAJAMARCA;16;4;2016;4;SN;CASERIO PLAYA HERMOSA CASERIO PLAYA HERMOSA;-11.8355;-77.11374;;;
318;CAJAMARCA;12;8;2016;8;SN;CARRETERA QUEROCOTILLO HACIA PUCARA JAEN;-6.03935;-79.12939;;;
319;CAJAMARCA;12;8;2016;8;SN;CARRETERA QUEROCOTILLO HACIA PUCARA JAEN;-6.03935;-79.12939;;;
320;CAJAMARCA;12;8;2016;8;SN;CARRETERA QUEROCOTILLO HACIA PUCARA JAEN;-6.03935;-79.12939;;;
326;CAJAMARCA;10;12;2016;12;SN;CASERIO POZA SECA CALLAYUC;-5.60993;-78.43806;;;
327;CAJAMARCA;5;9;2016;9;SN;CASERIO QUIPAYUC;-7.16227;-78.51927;;;
328;CAJAMARCA;3;11;2016;11;SN;CASERIO LAS DELICIAS;-6.64936;-78.23269;;;
330;CAJAMARCA;10;4;2016;4;3.00E+00;JOSE CARLOS MARIATEGUI;-7.16128;-78.52339;;;
332;CAJAMARCA;17;5;2016;5;SN;CASERIO MOLLORCO;-7.16227;-78.51927;;;
333;CAJAMARCA;18;10;2016;10;SN;SUNCHUPAMPA;-7.16227;-78.51927;;;
336;CAJAMARCA;7;1;2016;1;SN;ANEXO PAMPA GRANDE TUMBADEN GRANDE A GRANJA PORCON;-9.6558;-77.82744;;;
337;CAJAMARCA;7;1;2016;1;SN;ANEXO PAMPA GRANDE TUMBADEN GRANDE A GRANJA PORCON;-9.6558;-77.82744;;;
338;CAJAMARCA;22;2;2016;2;SN;CASERIO SAN IGNACIO DE UNANCA NEP;-5.15269;-78.9984;;;
339;CAJAMARCA;2;11;2016;11;SN;MUSADEN;-7.16227;-78.51927;;;
340;CAJAMARCA;1;10;2016;10;1.50E+01;AMALIA PUGA;-7.15667;-78.51782;;;
341;CAJAMARCA;1;8;2016;8;1.00E+00;LA PAZ;-5.00228;-79.09;;;
342;CAJAMARCA;21;10;2016;10;SN;CASERIO TAYAMAC;-7.16227;-78.51927;;;
343;CAJAMARCA;31;8;2016;8;1.20E+01;LA PAZ;-5.00228;-79.09;;;
344;CAJAMARCA;26;5;2016;5;SN;CAJAMARCA DEL CENTRO POBLADO PIOBAMBA;-7.15581;-78.51712;;;
347;CAJAMARCA;12;12;2016;12;1.20E+01;SAN MARTIN;-5.39354;-78.90655;;;
348;CAJAMARCA;22;12;2016;12;4.00E+00;PERU;-7.16227;-78.51927;;;
349;CAJAMARCA;14;11;2016;11;1.00E+00;LIBERTAD;-7.156668;-78.517306;;;
350;CAJAMARCA;29;2;2016;2;1.00E+00;MASHCON;-7.14388;-78.51623;;;
352;CAJAMARCA;11;5;2016;5;1.00E+01;FRANCISCO BOLOGNESI;-5.73557;-78.7898;;;
353;CAJAMARCA;18;2;2016;2;SN;JOSE SABOGAL Y JR SAN MARTIN;-7.25098;-78.03729;;;
357;CAJAMARCA;12;6;2016;6;SN;CALLE VILLANUEVA PINILLOS Y CALLE RAIMONDI;-5.40783;-78.6138;;;
358;CAJAMARCA;12;6;2016;6;SN;CENTRO POBLADO LA PALMA CENTRAL;-6.29266;-78.60255;;;
359;CAJAMARCA;25;12;2016;12;SN;PASAJE HUARAZ MZ B LT 8 JAEN REF PUENTE ORELLANA;-5.71131;-78.81123;;;
360;CALLAO;20;1;2016;1;SN;ENTRE LA MZ J Y F FUNDO LA CHALACA -CALLAO;-12.0171;-77.09669;;;
361;CALLAO;21;11;2016;11;1.00E+00;JR. PEDRO RUIZ GALLO 118;-12.06429;-77.14521;;;
362;CALLAO;2;4;2016;4;9.00E+00;JR. ANCASH;-9.469175;-77.8345;;;
364;CALLAO;9;10;2016;10;2.10E+01;GUARDIA CHALACA;-12.05508;-77.13452;;;
365;CALLAO;30;1;2016;1;2.10E+01;GUARDIA CHALACA;-12.05508;-77.13452;;;
366;CALLAO;9;3;2016;3;SN;AV. GUARDIA CHALACA CUADRA 21 BELLAVISTA CALLAO;-12.06218;-77.12374;;;
367;CALLAO;22;2;2016;2;SN;AV. GUARDIA CHALACA 2176 BELLVISTA CALLAO;-12.04538;-77.10287;;;
368;CALLAO;22;2;2016;2;SN;JR. LA PAZ N 244;-12.05886;-77.13406;;;
369;CALLAO;14;5;2016;5;SN;AV. GUARDIA CHALACA CUADRA 21 BELLAVISTA CALLAO- HOSPITAL NACIONAL DANIEL ALCIDES CARRION;-12.06218;-77.12374;;;
371;CALLAO;20;3;2016;3;SN;AV. Espa̱a con el cruce del Jr. Atahualpa la perla callao;-12.07111;-77.11649;;;
372;CALLAO;24;2;2016;2;SN;AV. GUARDIA CHALACA CUADRA 23 -HOSPITAL NACIONAL DANIEL ALCIDES CARRION BELLVISTA CALLAO;-12.03412;-77.09669;;;
